DATE,AWHNONAG,CPIAUCSL,CE16OV,PRS85006023,CLF16OV,GDPDEF
1964-01-01,115.2,30.93,44.92405,115.858,45.40675,16.197
1964-04-01,115.8,30.98,45.22131,116.121,45.60595,16.234
1964-07-01,115.6,31.05,45.45651,115.877,45.76706,16.299
1964-10-01,115.8,31.19333333,45.61069,116.027,45.87634,16.373
1965-01-01,116.1,31.29,46.01901,116.666,46.17858,16.455
1965-04-01,116.1,31.49,46.40186,116.437,46.46771,16.531
1965-07-01,115.7,31.58333333,46.57237,116.143,46.52391,16.595
1965-10-01,115.7,31.75,47.07935,116.198,46.89297,16.709
1966-01-01,116,32.04666667,47.16166,116.436,46.88173,16.816
1966-04-01,115.7,32.33666667,47.54516,116.09,47.23893,16.954
1966-07-01,115.1,32.61666667,47.86071,115.656,47.49433,17.118
1966-10-01,114.9,32.88333333,48.16843,115.143,47.85965,17.261
1967-01-01,114.1,32.96666667,47.97896,114.543,47.66419,17.333
1967-04-01,113.4,33.16666667,48.5271,113.821,48.25243,17.421
1967-07-01,113.4,33.5,48.90341,113.718,48.59089,17.588
1967-10-01,113.4,33.86666667,49.30781,113.664,49.01491,17.784
1968-01-01,113.1,34.2,49.2464,113.282,48.86816,17.981
1968-04-01,113.1,34.53333333,49.77101,113.487,49.40769,18.171
1968-07-01,113.1,35,49.76448,113.48,49.24408,18.349
1968-10-01,112.7,35.43333333,50.16039,112.935,49.62189,18.608
1969-01-01,112.8,35.86666667,50.54519,112.859,50.00656,18.8
1969-04-01,112.8,36.43333333,50.88034,112.701,50.39185,19.039
1969-07-01,112.6,36.93333333,51.12207,112.477,50.76278,19.307
1969-10-01,112.4,37.5,51.4422,112.058,50.97136,19.556
1970-01-01,111.8,38.1,51.52256,111.581,51.51714,19.832
1970-04-01,110.9,38.63333333,51.22856,110.815,51.5084,20.108
1970-07-01,110.8,39.03333333,51.28409,110.308,51.80189,20.273
1970-10-01,110.4,39.6,51.34681,110.221,52.24901,20.541
1971-01-01,110.2,39.93333333,51.34289,110.235,52.18969,20.853
1971-04-01,110.3,40.3,51.4533,110.201,52.27149,21.127
1971-07-01,110.1,40.7,52.0622,110.016,52.91157,21.342
1971-10-01,110.5,41,52.57309,110.405,53.46984,21.52
1972-01-01,110.6,41.33333333,53.29305,110.43,54.08556,21.848
1972-04-01,110.6,41.6,53.62624,110.409,54.33223,21.984
1972-07-01,110.5,41.93333333,53.92676,110.325,54.57327,22.194
1972-10-01,110.7,42.36666667,54.48666,110.185,54.91735,22.477
1973-01-01,110.7,43.03333333,55.17395,110.065,55.48124,22.736
1973-04-01,110.7,43.93333333,55.65283,110.007,55.91962,23.086
1973-07-01,110.5,44.8,55.85078,110.011,56.10071,23.535
1973-10-01,110.3,45.93333333,56.44726,109.694,56.75765,24.004
1974-01-01,109.8,47.3,56.72035,108.924,57.10923,24.457
1974-04-01,109.5,48.56666667,56.80005,108.615,57.36838,25.035
1974-07-01,109.4,49.93333333,56.87192,108.315,57.75555,25.769
1974-10-01,108.5,51.46666667,56.27936,107.609,57.93789,26.527
1975-01-01,107.6,52.56666667,55.65413,106.774,58.17831,27.13
1975-04-01,107.6,53.2,55.76389,106.647,58.43434,27.533
1975-07-01,108.1,54.26666667,56.36756,106.846,58.82588,28.019
1975-10-01,108.4,55.26666667,56.61974,107.386,58.95514,28.488
1976-01-01,108.7,55.9,57.48212,107.743,59.45846,28.789
1976-04-01,108.3,56.4,57.85973,107.012,59.87686,29.079
1976-07-01,108.2,57.3,58.25826,106.816,60.294,29.455
1976-10-01,107.7,58.13333333,58.66985,106.583,60.79045,29.983
1977-01-01,107.5,59.2,59.32643,106.438,61.26941,30.465
1977-04-01,108,60.23333333,60.0784,106.609,61.88014,30.895
1977-07-01,107.6,61.06666667,60.56381,106.38,62.10495,31.271
1977-10-01,107.7,61.96666667,61.48042,106.226,62.75314,31.947
1978-01-01,106.7,63.03333333,61.90507,105.449,63.12845,32.411
1978-04-01,107.5,64.46666667,62.94254,106.414,63.92714,33.031
1978-07-01,107.4,65.96666667,63.15618,106.251,64.19191,33.592
1978-10-01,107.2,67.5,63.75135,106.122,64.82512,34.279
1979-01-01,107.1,69.2,64.33868,105.648,65.3122,34.904
1979-04-01,106.5,71.4,64.46869,105.05,65.3428,35.759
1979-07-01,106.8,73.7,64.90053,105.37,65.89982,36.541
1979-10-01,106.8,76.03333333,65.28795,105.348,66.35443,37.219
1980-01-01,106.1,79.03333333,65.14422,104.791,66.46934,38.001
