DATE,PCEC,GDPDEF,CE16OV,FPI,GDPC1,PRS85006023,CLF16OV,FEDFUNDS,COMPRNFB
1960-01-01,326.364,15.428,42.25198,85.276,3517.181,114.313,42.7128,3.933333333,50.712
1960-04-01,332.208,15.467,43.22869,83.872,3498.246,114.371,43.67136,3.696666667,50.735
1960-07-01,332.126,15.52,43.29337,82.057,3515.385,114.494,43.80687,2.936666667,51.004
1960-10-01,334.024,15.566,42.9739,81.775,3470.278,114.033,43.95923,2.296666667,50.889
1961-01-01,334.52,15.6,43.02094,80.926,3493.703,113.789,44.15157,2.003333333,51.236
1961-04-01,339.455,15.636,43.11436,82.316,3553.021,113.749,44.26085,1.733333333,51.973
1961-07-01,342.332,15.676,42.81906,84.261,3621.252,113.919,43.84808,1.683333333,52.159
1961-10-01,349.593,15.725,43.0536,86.935,3692.289,114.344,43.76065,2.4,52.467
1962-01-01,354.822,15.806,43.44102,88.666,3758.147,114.058,43.9711,2.456666667,53.096
1962-04-01,360.458,15.832,43.55666,91.262,3792.149,114.591,44.03355,2.606666667,53.255
1962-07-01,364.333,15.865,43.89769,91.972,3838.776,114.547,44.43258,2.846666667,53.478
1962-10-01,370.618,15.898,43.73763,91.604,3851.421,114.125,44.24586,2.923333333,53.83
1963-01-01,374.283,15.967,44.00157,92.821,3893.482,114.25,44.60119,2.966666667,54.193
1963-04-01,378.413,15.995,44.19626,96.814,3937.183,114.487,44.72795,2.963333333,54.367
1963-07-01,385.394,16.016,44.53925,98.896,4023.755,114.183,45.04331,3.33,54.59
1963-10-01,390.049,16.146,44.56473,102.125,4050.147,114.473,45.0789,3.453333333,55.062
1964-01-01,399.581,16.197,44.92405,105.35,4135.553,115.858,45.40675,3.463333333,54.663
1964-04-01,407.536,16.234,45.22131,106.062,4180.592,116.121,45.60595,3.49,55.183
1964-07-01,416.422,16.299,45.45651,107.939,4245.918,115.877,45.76706,3.456666667,55.785
1964-10-01,418.987,16.373,45.61069,109.968,4259.046,116.027,45.87634,3.576666667,55.937
1965-01-01,429.711,16.455,46.01901,114.998,4362.111,116.666,46.17858,3.976666667,55.997
1965-04-01,436.642,16.531,46.40186,118.484,4417.225,116.437,46.46771,4.08,56.013
1965-07-01,445.804,16.595,46.57237,121.945,4515.427,116.143,46.52391,4.076666667,56.439
1965-10-01,459.736,16.709,47.07935,126.168,4619.458,116.198,46.89297,4.166666667,56.975
1966-01-01,470.136,16.816,47.16166,130.328,4731.888,116.436,46.88173,4.56,57.432
1966-04-01,475.189,16.954,47.54516,131.185,4748.046,116.09,47.23893,4.913333333,57.826
1966-07-01,484.291,17.118,47.86071,131.342,4788.254,115.656,47.49433,5.41,58.152
1966-10-01,490.06,17.261,48.16843,129.351,4827.537,115.143,47.85965,5.563333333,58.454
1967-01-01,494.317,17.333,47.97896,127.388,4870.299,114.543,47.66419,4.823333333,59.09
1967-04-01,503.458,17.421,48.5271,131.154,4873.287,113.821,48.25243,3.99,59.68
1967-07-01,510.717,17.588,48.90341,133.571,4919.392,113.718,48.59089,3.893333333,59.886
1967-10-01,518.249,17.784,49.30781,139.22,4956.477,113.664,49.01491,4.173333333,60.045
1968-01-01,536.297,17.981,49.2464,143.85,5057.553,113.282,48.86816,4.79,61.056
1968-04-01,550.014,18.171,49.77101,144.862,5142.033,113.487,49.40769,5.983333333,61.451
1968-07-01,566.122,18.349,49.76448,148.003,5181.859,113.48,49.24408,5.946666667,61.618
1968-10-01,574.977,18.608,50.16039,154.754,5202.212,112.935,49.62189,5.916666667,62.073
1969-01-01,587.005,18.8,50.54519,160.899,5283.597,112.859,50.00656,6.566666667,62.161
1969-04-01,598.337,19.039,50.88034,163.499,5299.625,112.701,50.39185,8.326666667,62.184
1969-07-01,608.626,19.307,51.12207,167.37,5334.6,112.477,50.76278,8.983333333,62.432
1969-10-01,620.586,19.556,51.4422,165.787,5308.556,112.058,50.97136,8.94,62.67
1970-01-01,631.685,19.832,51.52256,166.289,5300.652,111.581,51.51714,8.573333333,62.793
1970-04-01,641.57,20.108,51.22856,166.374,5308.164,110.815,51.5084,7.886666667,62.902
1970-07-01,653.482,20.273,51.28409,168.821,5357.077,110.308,51.80189,6.706666667,63.265
1970-10-01,660.161,20.541,51.34681,170.738,5299.672,110.221,52.24901,5.566666667,62.967
1971-01-01,679.186,20.853,51.34289,177.241,5443.619,110.235,52.18969,3.856666667,63.732
1971-04-01,693.225,21.127,51.4533,186.455,5473.059,110.201,52.27149,4.566666667,64.077
1971-07-01,705.599,21.342,52.0622,191.87,5518.072,110.016,52.91157,5.476666667,64.318
1971-10-01,721.739,21.52,52.57309,198.706,5531.032,110.405,53.46984,4.75,64.286
1972-01-01,738.948,21.848,53.29305,209.741,5632.649,110.43,54.08556,3.546666667,65.542
1972-04-01,757.364,21.984,53.62624,214.8,5760.47,110.409,54.33223,4.3,65.886
1972-07-01,775.799,22.194,53.92676,219.375,5814.854,110.325,54.57327,4.743333333,66.23
1972-10-01,800.502,22.477,54.48666,232.224,5912.22,110.185,54.91735,5.146666667,66.788
1973-01-01,825.007,22.736,55.17395,243.763,6058.544,110.065,55.48124,6.536666667,67.488
1973-04-01,840.527,23.086,55.65283,249.99,6124.506,110.007,55.91962,7.816666667,67.029
1973-07-01,858.877,23.535,55.85078,254.574,6092.301,110.011,56.10071,10.56,66.869
1973-10-01,873.887,24.004,56.44726,255.865,6150.131,109.694,56.75765,9.996666667,66.536
1974-01-01,891.868,24.457,56.72035,255.842,6097.258,108.924,57.10923,9.323333333,66.079
1974-04-01,920.422,25.035,56.80005,259.975,6111.751,108.615,57.36838,11.25,66.028
1974-07-01,949.276,25.769,56.87192,265.434,6053.978,108.315,57.75555,12.09,66.12
1974-10-01,959.079,26.527,56.27936,260.893,6030.464,107.609,57.93789,9.346666667,65.907
1975-01-01,985.19,27.13,55.65413,254.335,5957.035,106.774,58.17831,6.303333333,66.45
1975-04-01,1013.582,27.533,55.76389,257.235,5999.61,106.647,58.43434,5.42,67.051
1975-07-01,1047.192,28.019,56.36756,266.579,6102.326,106.846,58.82588,6.16,66.897
1975-10-01,1076.223,28.488,56.61974,275.888,6184.53,107.386,58.95514,5.413333333,66.764
1976-01-01,1109.908,28.789,57.48212,289.945,6323.649,107.743,59.45846,4.826666667,67.279
1976-04-01,1129.54,29.079,57.85973,299.855,6370.025,107.012,59.87686,5.196666667,67.933
1976-07-01,1158.806,29.455,58.25826,307.501,6404.895,106.816,60.294,5.283333333,68.269
1976-10-01,1192.408,29.983,58.66985,327.132,6451.177,106.583,60.79045,4.873333333,68.723
1977-01-01,1228.212,30.465,59.32643,345.491,6527.703,106.438,61.26941,4.66,68.763
1977-04-01,1255.98,30.895,60.0784,370.233,6654.466,106.609,61.88014,5.156666667,68.966
1977-07-01,1286.905,31.271,60.56381,383.251,6774.457,106.38,62.10495,5.82,69.345
1977-10-01,1324.804,31.947,61.48042,398.179,6774.592,106.226,62.75314,6.513333333,69.52
1978-01-01,1354.053,32.411,61.90507,409.346,6796.26,105.449,63.12845,6.756666667,70.28
1978-04-01,1411.385,33.031,62.94254,446.328,7058.92,106.414,63.92714,7.283333333,69.964
1978-07-01,1442.217,33.592,63.15618,467.401,7129.915,106.251,64.19191,8.1,70.035
1978-10-01,1481.354,34.279,63.75135,487.269,7225.75,106.122,64.82512,9.583333333,70.398
1979-01-01,1517.141,34.904,64.33868,501.957,7238.727,105.648,65.3122,10.07333333,70.583
1979-04-01,1557.635,35.759,64.46869,511.892,7246.454,105.05,65.3428,10.18,70.304
1979-07-01,1611.867,36.541,64.90053,533.49,7300.281,105.37,65.89982,10.94666667,70.002
1979-10-01,1655.035,37.219,65.28795,539.323,7318.535,105.348,66.35443,13.57666667,70.014
1980-01-01,1702.302,38.001,65.14422,544.663,7341.557,104.791,66.46934,15.04666667,69.764
1980-04-01,1704.723,38.905,64.47065,511.544,7190.289,103.943,66.6804,12.68666667,69.932
1980-07-01,1763.771,39.774,64.72871,528.927,7181.743,103.762,66.87898,9.836666667,70.012
1980-10-01,1831.874,40.81,65.09261,560.59,7315.677,104.254,67.0376,15.85333333,70.219
1981-01-01,1885.734,41.885,65.70477,580.626,7459.022,104.382,67.78758,16.57,70.029
1981-04-01,1917.524,42.715,65.52641,598.129,7403.745,103.963,67.68954,17.78,69.932
1981-07-01,1958.099,43.519,65.37353,608.337,7492.405,103.563,67.62585,17.57666667,70.063
1981-10-01,1974.447,44.271,65.09979,618.589,7410.768,103.638,68.01176,13.58666667,70.001
1982-01-01,2014.155,44.88,65.11743,609.784,7295.631,102.697,68.42079,14.22666667,70.975
1982-04-01,2039.645,45.463,65.03316,597.786,7328.912,103.388,68.74176,14.51333333,70.776
1982-07-01,2085.671,46.108,65.00768,587.157,7300.896,103.391,69.14142,11.00666667,70.655
1982-10-01,2145.554,46.586,64.69931,589.062,7303.817,103.296,69.36748,9.286666667,70.913
1983-01-01,2184.589,46.938,64.79535,600.58,7400.066,103.662,69.05774,8.653333333,71.224
1983-04-01,2249.438,47.286,65.74527,621.454,7568.456,103.892,69.86455,8.803333333,71.052
1983-07-01,2319.895,47.789,66.64881,656.472,7719.746,104.634,70.1262,9.46,70.76
1983-10-01,2372.496,48.151,67.28906,694.564,7880.794,104.693,70.14431,9.43,70.915
1984-01-01,2418.165,48.639,67.92343,717.89,8034.847,105.035,70.38536,9.686666667,70.762
